id,nummi,agerevq,couple,iris,sexe,tact
4044846,7118,055,2,765400104,1,25
4044847,7119,045,2,765400901,2,12
4044848,7119,025,2,765400901,1,22
4044849,7119,015,2,765400901,2,22
4044850,7119,015,2,765400901,2,22
4044851,7120,035,2,765400404,2,11
4044852,7121,035,1,765400202,1,11
4044853,7121,035,1,765400202,2,11
4044854,7121,005,2,765400202,1,23
4044855,7122,065,2,765400203,2,21
4044856,7123,020,2,765400502,2,22
4044857,7124,025,1,765400502,1,11
4044858,7124,025,1,765400502,2,11
4044859,7125,055,2,765401005,1,11
4044860,7126,025,2,765400601,2,11
4044861,7127,075,2,765400601,1,21
4044862,7128,055,2,765400104,1,12
4044863,7129,050,2,765400303,1,12
4044864,7130,050,2,765401005,2,25
4044865,7131,015,2,765400204,2,22
4044866,7132,025,1,765401003,2,11
4044867,7132,025,1,765401003,1,11
4044868,7133,060,2,765400601,2,21
4044869,7134,020,2,765400404,2,11
4044870,7135,055,2,765400601,1,25
4044871,7136,045,1,765400306,1,11
4044872,7136,000,2,765400306,1,23
4044873,7136,025,1,765400306,2,11
4044874,7137,030,2,765400405,2,11
4044875,7138,015,2,765400405,1,22
4044876,7139,045,2,765400201,2,11
4044877,7139,015,2,765400201,1,22
4044878,7140,015,2,765400306,1,22
4044879,7140,015,2,765400306,1,11
4044880,7141,020,1,765400203,1,22
4044881,7141,020,1,765400203,2,22
4044882,7142,060,1,765400304,1,25
4044883,7142,055,1,765400304,2,25
4044884,7143,045,2,765400306,2,11
4044885,7143,015,2,765400306,2,22
4044886,7143,010,2,765400306,1,22
4044887,7144,025,1,765400101,1,11
4044888,7144,025,1,765400101,2,11
4044889,7145,015,2,765400504,1,22
4044890,7145,050,2,765400504,2,11
4044891,7146,025,2,765400304,2,11
4044892,7147,020,2,765400202,1,11
4044893,7148,040,1,765400604,1,11
4044894,7148,045,1,765400604,2,11
4044895,7149,065,1,765400106,1,21
4044896,7149,070,1,765400106,2,21
4044897,7150,000,2,765400303,1,23
4044898,7150,015,2,765400303,1,22
4044899,7150,005,2,765400303,1,23
4044900,7150,035,2,765400303,2,24
4044901,7151,020,2,765400104,1,22
4044902,7151,020,2,765400104,1,22
4044903,7151,015,2,765400104,1,22
4044904,7152,025,1,765400801,2,11
4044905,7152,020,1,765400801,1,11
4044906,7153,020,2,765400405,1,12
4044907,7154,060,2,765400701,2,21
4044908,7154,020,2,765400701,1,22
4044909,7155,030,1,765400102,2,11
4044910,7155,030,1,765400102,1,11
4044911,7156,025,1,765400103,1,12
4044912,7156,025,1,765400103,2,11
4044913,7157,020,2,765400404,1,22
4044914,7158,045,1,765400403,1,11
4044915,7158,005,2,765400403,2,23
4044916,7158,045,1,765400403,2,11
4044917,7159,015,2,765400202,2,22
4044918,7160,020,2,765400306,1,22
4044919,7161,015,2,765400203,2,22
4044920,7162,020,1,765400405,2,11
4044921,7162,020,1,765400405,1,11
4044922,7163,010,2,765400304,1,23
4044923,7163,045,1,765400304,2,11
4044924,7163,050,1,765400304,1,25
4044925,7164,055,2,765400103,1,25
4044926,7165,035,2,765400404,1,12
4044927,7166,005,2,765400901,2,23
4044928,7166,000,2,765400901,2,23
4044929,7166,000,2,765400901,2,23
4044930,7166,005,2,765400901,2,23
4044931,7166,025,1,765400901,2,24
4044932,7166,035,1,765400901,1,12
4044933,7167,040,2,765401002,2,11
4044934,7168,020,2,765400306,1,11
4044935,7169,020,2,765400501,2,22
4044936,7170,005,2,765400701,2,23
4044937,7170,030,2,765400701,2,11
4044938,7171,055,2,765400901,2,25
4044939,7172,010,2,765400306,2,23
4044940,7172,010,2,765400306,1,23
4044941,7172,005,2,765400306,1,23
4044942,7172,035,2,765400306,2,11
4044943,7173,015,2,765400203,1,22
4044944,7174,020,1,765400402,2,11
4044945,7174,020,1,765400402,1,11
4044946,7175,050,2,765400201,2,11
4044947,7176,040,2,765400802,2,11
4044948,7177,050,2,765400304,1,25
4044949,7178,020,2,765400303,2,11
4044950,7179,040,2,765400901,2,11
4044951,7180,060,1,765400604,1,21
4044952,7180,055,1,765400604,2,21
4044953,7181,085,2,765400106,2,21
4044954,7182,050,1,765401002,1,11
4044955,7182,050,1,765401002,2,11
4044956,7183,020,1,765400103,1,11
4044957,7184,025,1,765400106,1,11
4044958,7184,000,2,765400106,2,23
4044959,7184,030,1,765400106,2,12
4044960,7185,005,2,765400305,1,23
4044961,7185,045,1,765400305,2,25
4044962,7185,005,2,765400305,1,23
4044963,7185,035,1,765400305,1,12
4044964,7186,035,1,765400503,1,11
4044965,7186,035,1,765400503,2,11
4044966,7187,020,2,765400201,1,12
4044967,7187,005,2,765400201,1,23
4044968,7187,035,2,765400201,2,12
4044969,7187,010,2,765400201,1,23
4044970,7188,065,2,765400802,2,21
4044971,7189,030,1,765401001,2,11
4044972,7189,000,2,765401001,2,23
4044973,7189,030,1,765401001,1,11
4044974,7190,030,1,765400502,2,12
4044975,7190,030,1,765400502,1,11
4044976,7190,000,2,765400502,2,23
4044977,7191,020,2,765400404,1,22
4044978,7192,030,2,765401004,1,11
4044979,7193,030,2,765400701,1,12
4044980,7194,055,2,765400303,2,11
4044981,7195,035,1,765400402,1,12
4044982,7195,000,2,765400402,1,23
4044983,7195,030,1,765400402,2,25
4044984,7195,010,2,765400402,2,23
4044985,7195,005,2,765400402,2,23
4044986,7196,060,1,765400303,1,21
4044987,7196,025,2,765400303,2,11
4044988,7196,045,1,765400303,2,24
4044989,7196,020,2,765400303,2,22
4044990,7197,020,2,765400404,2,12
4044991,7198,065,2,765400104,2,21
4044992,7199,085,2,765400601,2,21
4044993,7200,020,2,765400405,1,22
4044994,7201,020,2,765400202,1,22
4044995,7202,080,2,765400306,2,24
4044996,7203,020,2,765400403,1,11
4044997,7204,020,2,765400701,1,12
4044998,7204,045,1,765400701,2,11
4044999,7204,050,1,765400701,1,11
4045000,7205,050,1,765400403,2,11
4045001,7205,050,1,765400403,1,11
4045002,7205,015,2,765400403,1,22
4045003,7206,045,2,765400306,1,11
4045004,7207,020,2,765400102,1,22
4045005,7208,005,2,765400504,2,23
4045006,7208,040,1,765400504,1,11
4045007,7208,000,2,765400504,1,23
4045008,7208,030,1,765400504,2,12
4045009,7209,025,2,765400306,2,11
4045010,7209,025,2,765400306,2,12
4045011,7210,035,1,765400502,1,11
4045012,7210,030,1,765400502,2,11
4045013,7211,030,2,765401004,2,12
4045014,7211,005,2,765401004,1,23
4045015,7212,060,2,765400802,2,11
4045016,7213,005,2,765400504,2,23
4045017,7213,005,2,765400504,1,23
4045018,7213,040,1,765400504,2,11
4045019,7213,045,1,765400504,1,11
4045020,7214,020,2,765400305,1,22
4045021,7215,045,1,765400701,2,11
4045022,7215,010,2,765400701,2,22
4045023,7215,045,1,765400701,1,11
4045024,7216,050,1,765400305,1,25
4045025,7216,050,1,765400305,2,11
4045026,7217,015,2,765400103,2,22
4045027,7218,030,1,765400106,2,11
4045028,7218,030,1,765400106,1,11
4045029,7219,040,1,765400202,2,11
4045030,7219,055,2,765400202,2,11
4045031,7219,055,1,765400202,1,25
4045032,7219,015,2,765400202,2,22
4045033,7220,050,1,765400306,2,24
4045034,7220,045,1,765400306,1,11
4045035,7221,020,2,765400303,2,11
4045036,7222,020,2,765400601,2,11
4045037,7223,015,2,765401005,2,22
4045038,7224,020,2,765400104,2,22
4045039,7225,000,2,765401004,1,23
4045040,7225,040,1,765401004,1,12
4045041,7225,025,1,765401004,2,11
4045042,7226,060,1,765400901,2,21
4045043,7227,065,1,765400901,1,21
4045044,7227,035,1,765400901,2,24
4045045,7227,000,2,765400901,1,23
4045046,7228,030,2,765400102,1,11
4045047,7229,020,2,765400103,1,12
4045048,7230,015,2,765400305,1,12
4045049,7231,025,2,765400601,2,11
4045050,7232,015,2,765400402,1,22
4045051,7233,015,2,765400404,2,22
4045052,7234,080,2,765401003,2,21
4045053,7235,050,2,765400306,2,11
4045054,7236,015,2,765400202,2,22
4045055,7237,020,2,765400402,2,22
4045056,7238,050,2,765400403,2,11
4045057,7239,020,2,765400402,1,22
4045058,7240,015,2,765400403,1,22
4045059,7241,040,1,765400402,1,11
4045060,7241,025,1,765400402,2,12
4045061,7241,010,2,765400402,2,23
4045062,7242,055,2,765400103,2,12
4045063,7243,055,2,765400303,2,11
4045064,7244,030,1,765401005,2,25
4045065,7244,035,1,765401005,1,11
4045066,7244,005,2,765401005,1,23
4045067,7244,005,2,765401005,2,23
4045068,7245,065,1,765400106,2,21
4045069,7245,060,1,765400106,1,11
4045070,7246,055,2,765400502,2,11
4045071,7247,085,2,765400104,2,21
4045072,7248,025,2,765400303,1,12
4045073,7249,030,2,765400801,1,11
4045074,7250,050,2,765401002,2,11
4045075,7251,060,1,765400802,1,21
4045076,7251,060,1,765400802,2,21
4045077,7251,040,2,765400802,1,11
4045078,7252,040,2,765400402,2,11
4045079,7252,010,2,765400402,2,22
4045080,7253,015,2,765400104,2,22
4045081,7253,040,1,765400104,2,11
4045082,7253,015,2,765400104,2,22
4045083,7253,045,1,765400104,1,11
4045084,7254,015,2,765400502,1,22
4045085,7254,015,2,765400502,1,22
4045086,7254,040,2,765400502,2,11
4045087,7255,035,2,765400405,1,25
4045088,7256,070,2,765400601,2,21
4045089,7257,055,2,765400602,2,12
4045090,7258,005,2,765400901,2,23
4045091,7258,020,2,765400901,2,12
4045092,7259,020,2,765401003,2,22
4045093,7260,035,2,765401004,1,11
4045094,7261,015,2,765400404,1,22
4045095,7262,020,2,765400603,2,11
4045096,7263,045,1,765400701,2,25
4045097,7263,030,1,765400701,1,12
4045098,7264,080,2,765401002,1,21
4045099,7265,025,2,765400105,1,11
4045100,7266,030,2,765400102,2,11
4045101,7267,015,2,765400405,2,11
4045102,7267,025,2,765400405,2,12
4045103,7267,045,1,765400405,1,11
4045104,7267,045,1,765400405,2,11
4045105,7268,010,2,765400106,1,23
4045106,7268,045,1,765400106,2,11
4045107,7268,045,1,765400106,1,11
4045108,7269,050,1,765400304,1,11
4045109,7269,050,1,765400304,2,11
4045110,7270,070,1,765400901,1,21
4045111,7270,025,2,765400901,2,11
4045112,7270,060,1,765400901,2,11
4045113,7271,020,2,765400405,2,12
4045114,7272,050,2,765400901,2,11
4045115,7273,040,2,765401004,2,11
4045116,7274,040,1,765400604,2,11
4045117,7274,010,2,765400604,2,23
4045118,7274,040,1,765400604,1,11
4045119,7275,025,2,765400102,2,11
4045120,7276,005,2,765400901,1,23
4045121,7276,000,2,765400901,1,23
4045122,7276,030,1,765400901,1,11
4045123,7276,030,1,765400901,2,24
4045124,7276,005,2,765400901,2,23
4045125,7276,000,2,765400901,2,23
4045126,7277,005,2,765400203,1,23
4045127,7277,030,1,765400203,1,11
4045128,7277,030,1,765400203,2,11
4045129,7278,035,2,765400201,2,11
4045130,7279,015,2,765400305,2,22
4045131,7280,020,1,765400502,2,11
4045132,7280,020,1,765400502,1,22
4045133,7281,060,1,765400203,1,11
4045134,7281,060,1,765400203,2,21
4045135,7282,030,2,765400502,2,11
4045136,7283,020,2,765400601,1,22
4045137,7284,090,2,765400306,2,21
4045138,7285,055,2,765400503,1,11
4045139,7286,015,2,765400306,2,22
4045140,7287,020,2,765400404,2,22
4045141,7288,020,2,765400106,1,22
4045142,7289,065,2,765400502,1,21
4045143,7290,030,1,765400104,2,11
4045144,7290,030,1,765400104,1,11
4045145,7291,025,2,765400502,1,11
4045146,7292,005,2,765400801,1,23
4045147,7292,030,1,765400801,2,11
4045148,7292,000,2,765400801,2,23
4045149,7292,005,2,765400801,2,23
4045150,7292,045,1,765400801,1,11
4045151,7293,050,1,765400202,1,11
4045152,7293,050,1,765400202,2,11
4045153,7294,015,2,765400305,2,22
4045154,7295,045,2,765401004,1,12
4045155,7296,060,1,765400202,1,21
4045156,7296,055,1,765400202,2,11
4045157,7296,030,2,765400202,1,11
4045158,7297,020,2,765400203,1,22
4045159,7298,025,1,765401003,2,11
4045160,7298,030,1,765401003,1,12
4045161,7298,000,2,765401003,2,23
4045162,7298,005,2,765401003,1,23
4045163,7299,040,2,765400601,2,11
4045164,7300,030,2,765400402,2,11
4045165,7301,060,2,765400306,2,11
4045166,7302,030,2,765400301,1,11
4045167,7303,050,2,765400306,2,11
4045168,7304,050,2,765400304,2,11
4045169,7305,050,1,765400402,2,11
4045170,7305,045,1,765400402,1,11
4045171,7306,050,2,765400202,1,25
4045172,7306,075,2,765400202,2,21
4045173,7307,060,2,765400404,2,21
4045174,7308,025,2,765400204,2,11
4045175,7309,070,2,765401004,1,21
4045176,7310,035,2,765400601,2,11
4045177,7311,030,2,765400104,2,11
4045178,7312,025,2,765400701,1,12
4045179,7313,050,1,765400304,1,12
4045180,7313,045,1,765400304,2,11
4045181,7313,010,2,765400304,2,23
4045182,7314,050,2,765400104,1,25
4045183,7315,020,2,765400106,1,11
4045184,7316,025,1,765400106,2,24
4045185,7316,035,1,765400106,1,12
4045186,7317,020,2,765400304,2,11
4045187,7318,045,1,765400105,1,11
4045188,7318,030,1,765400105,2,11
4045189,7319,050,1,765401005,2,25
4045190,7319,050,1,765401005,1,25
4045191,7319,015,2,765401005,1,22
4045192,7320,065,2,765400306,2,21
4045193,7321,050,1,765400503,2,11
4045194,7321,045,1,765400503,1,11
4045195,7322,075,2,765401002,2,21
4045196,7323,060,1,765400901,1,12
4045197,7323,050,1,765400901,2,12
4045198,7324,080,2,765400301,2,21
4045199,7325,005,2,765400602,1,23
4045200,7325,050,1,765400602,1,11
4045201,7325,035,1,765400602,2,11
4045202,7326,020,2,765400306,1,22
4045203,7327,040,2,765400303,2,11
4045204,7328,020,2,765400304,1,22
4045205,7329,045,1,765400102,2,11
4045206,7330,030,2,765400501,2,11
4045207,7331,075,2,765400104,2,21
4045208,7332,020,1,765400306,2,11
4045209,7332,020,1,765400306,1,12
4045210,7333,030,2,765400502,1,11
4045211,7334,035,2,765401002,1,12
4045212,7335,025,2,765400103,2,25
4045213,7336,065,1,765400101,2,24
4045214,7336,070,1,765400101,1,21
4045215,7337,050,1,765400604,1,11
4045216,7337,025,1,765400604,1,11
4045217,7338,020,2,765400601,2,22
4045218,7339,020,2,765400601,1,11
4045219,7340,045,2,765400601,1,12
4045220,7341,085,2,765400502,2,21
4045221,7342,075,2,765400105,2,21
4045222,7343,065,2,765400902,2,21
4045223,7344,055,2,765400303,2,11
4045224,7345,055,1,765400602,2,11
4045225,7345,055,1,765400602,1,11
4045226,7346,020,2,765400404,1,22
4045227,7347,080,1,765400503,2,21
4045228,7347,080,1,765400503,1,21
4045229,7348,025,2,765400202,2,11
4045230,7349,020,1,765401005,1,11
4045231,7349,020,1,765401005,2,11
4045232,7350,020,2,765400201,1,22
4045233,7351,040,2,765401005,1,25
4045234,7351,020,2,765401005,1,11
4045235,7352,020,1,765400501,1,22
4045236,7352,020,1,765400501,2,12
4045237,7353,020,2,765400402,2,11
4045238,7354,045,2,765401001,1,11
4045239,7355,070,2,765400305,2,21
4045240,7356,055,1,765400105,1,11
4045241,7356,055,1,765400105,2,11
4045242,7357,060,2,765400106,2,21
4045243,7358,015,2,765400106,1,22
4045244,7359,025,2,765400203,1,22
4045245,7360,085,2,765400306,1,21
4045246,7361,070,2,765400106,2,21
4045247,7362,050,2,765400104,1,12
4045248,7363,020,2,765400502,2,22
4045249,7364,050,2,765401001,2,11
4045250,7365,030,2,765401003,2,11
4045251,7366,020,2,765400601,1,11
4045252,7366,020,2,765400601,1,22
4045253,7367,075,2,765400202,2,21
4045254,7368,020,2,765400106,2,22
4045255,7369,020,2,765400105,1,22
4045256,7369,015,2,765400105,1,22
4045257,7370,055,1,765400201,2,11
4045258,7371,030,2,765400103,1,11
4045259,7372,020,2,765400203,2,22
4045260,7373,050,1,765400306,1,11
4045261,7373,050,1,765400306,2,11
4045262,7374,025,1,765401005,1,12
4045263,7374,030,1,765401005,1,11
4045264,7375,060,2,765400305,2,12
4045265,7376,020,2,765400405,1,11
4045266,7376,020,2,765400405,1,11
4045267,7376,020,1,765400405,1,11
4045268,7376,020,1,765400405,2,22
4045269,7377,080,1,765400202,1,21
4045270,7377,055,2,765400202,2,25
4045271,7377,080,1,765400202,2,11
4045272,7378,015,2,765400701,2,22
4045273,7378,015,2,765400701,1,22
4045274,7378,075,2,765400701,2,21
4045275,7378,015,2,765400701,1,11
4045276,7378,050,2,765400701,2,11
4045277,7379,025,2,765401001,1,11
4045278,7379,055,1,765401001,2,24
4045279,7379,060,2,765401001,1,21
4045280,7380,030,2,765401005,1,11
4045281,7381,055,1,765400901,2,24
4045282,7381,075,1,765400901,1,21
4045283,7382,025,1,765401005,2,11
4045284,7382,030,1,765401005,1,11
4045285,7383,020,2,765400202,1,22
4045286,7384,035,2,765400501,1,11
4045287,7384,030,2,765400501,1,11
4045288,7384,030,2,765400501,1,11
4045289,7385,015,2,765400104,1,11
4045290,7385,020,2,765400104,1,11
4045291,7386,025,1,765400303,2,22
4045292,7386,025,1,765400303,1,11
4045293,7387,065,2,765400301,2,21
4045294,7388,060,2,765400405,1,25
4045295,7389,045,1,765401003,2,12
4045296,7389,005,2,765401003,2,23
4045297,7389,040,1,765401003,1,11
4045298,7390,000,2,765400604,2,23
4045299,7390,025,1,765400604,2,12
4045300,7390,035,1,765400604,1,11
4045301,7391,035,2,765400405,2,11
4045302,7392,050,1,765400204,1,11
4045303,7392,020,2,765400204,2,12
4045304,7392,015,2,765400204,1,22
4045305,7392,050,1,765400204,2,11
4045306,7393,090,2,765400104,2,21
4045307,7394,085,2,765400106,2,24
4045308,7395,020,2,765400404,2,22
4045309,7396,070,2,765400601,2,21
4045310,7397,005,2,765400101,1,23
4045311,7397,010,2,765400101,2,23
4045312,7397,045,1,765400101,1,11
4045313,7397,040,1,765400101,2,11
4045314,7397,010,2,765400101,1,23
4045315,7398,075,2,765400304,2,21
4045316,7399,020,2,765400404,1,22
4045317,7400,025,2,765400106,1,11
4045318,7401,020,2,765400304,2,11
4045319,7401,000,2,765400304,2,23
4045320,7402,005,2,765400901,2,23
4045321,7402,035,1,765400901,2,11
4045322,7402,040,1,765400901,1,11
4045323,7403,050,2,765400101,2,11
4045324,7404,030,2,765400501,2,11
4045325,7405,055,2,765400501,2,11
4045326,7406,035,2,765401004,1,12
4045327,7407,055,1,765400404,1,25
4045328,7407,045,1,765400404,2,11
4045329,7408,065,2,765401004,2,21
4045330,7409,045,1,765400305,2,11
4045331,7409,020,2,765400305,1,11
4045332,7409,055,1,765400305,1,11
4045333,7410,055,2,765400102,2,11
4045334,7411,085,2,765400202,1,21
4045335,7412,080,2,765400504,2,21
4045336,7413,070,1,765401003,1,21
4045337,7413,055,1,765401003,2,12
4045338,7414,020,2,765400202,1,22
4045339,7415,035,1,765400106,1,11
4045340,7415,005,2,765400106,1,23
4045341,7415,035,1,765400106,2,11
4045342,7415,005,2,765400106,1,23
4045343,7416,020,2,765400305,1,22
4045344,7416,020,2,765400305,1,22
4045345,7417,055,2,765400504,2,21
4045346,7418,045,2,765400901,1,11
4045347,7419,015,2,765400202,1,11
4045348,7420,025,2,765400404,2,11
4045349,7421,035,2,765400304,1,11
4045350,7422,025,2,765401002,2,11
4045351,7423,050,2,765400103,1,11
4045352,7424,000,2,765401001,2,23
4045353,7424,030,1,765401001,2,11
4045354,7424,040,1,765401001,1,11
4045355,7425,050,2,765400901,2,12
4045356,7425,015,2,765400901,2,22
4045357,7426,045,2,765400103,1,11
4045358,7426,040,2,765400103,1,25
4045359,7427,040,1,765400303,2,12
4045360,7427,030,1,765400303,1,11
4045361,7427,000,2,765400303,1,23
4045362,7428,080,2,765400104,2,21
4045363,7429,015,2,765400501,1,11
4045364,7430,045,2,765400201,1,12
4045365,7431,020,2,765400203,1,22
4045366,7432,055,1,765401002,1,11
4045367,7432,050,1,765401002,2,11
4045368,7433,055,1,765400901,2,11
4045369,7433,025,2,765400901,1,25
4045370,7433,015,2,765400901,1,22
4045371,7433,055,1,765400901,1,11
4045372,7434,025,2,765400102,2,11
4045373,7435,015,2,765400103,2,22
4045374,7436,085,2,765400305,2,21
4045375,7437,045,1,765400501,2,11
4045376,7437,045,1,765400501,1,11
4045377,7438,060,1,765400602,1,21
4045378,7438,065,1,765400602,2,21
4045379,7439,045,2,765401002,2,11
4045380,7439,020,2,765401002,1,11
4045381,7439,015,2,765401002,2,22
4045382,7440,015,2,765400305,1,22
4045383,7441,020,2,765400305,1,22
4045384,7442,075,2,765400103,2,21
4045385,7443,000,2,765400402,2,23
4045386,7443,060,1,765400402,1,21
4045387,7443,055,1,765400402,2,11
4045388,7443,030,2,765400402,2,11
4045389,7444,005,2,765401004,1,23
4045390,7444,040,2,765401004,2,12
4045391,7445,000,2,765401005,2,23
4045392,7445,005,2,765401005,1,23
4045393,7445,010,2,765401005,1,23
4045394,7445,010,2,765401005,1,23
4045395,7445,040,1,765401005,1,11
4045396,7445,035,1,765401005,2,11
4045397,7445,010,2,765401005,2,23
4045398,7446,075,1,765400201,1,21
4045399,7446,075,1,765400201,2,21
4045400,7447,040,2,765400404,1,11
4045401,7448,020,2,765400102,2,11
4045402,7449,070,1,765400501,2,21
4045403,7449,075,1,765400501,1,21
4045404,7450,015,2,765400405,1,22
4045405,7450,015,2,765400405,1,22
4045406,7451,015,2,765400404,1,22
4045407,7452,055,2,765400701,2,11
4045408,7453,035,2,765400203,1,11
4045409,7454,045,2,765400901,2,11
4045410,7454,020,2,765400901,2,11
4045411,7455,080,2,765400502,2,21
4045412,7456,050,2,765400901,1,11
4045413,7457,015,2,765400102,1,22
4045414,7458,005,2,765400201,1,23
4045415,7458,035,1,765400201,1,12
4045416,7458,005,2,765400201,1,23
4045417,7458,035,1,765400201,2,11
4045418,7459,020,2,765400102,1,11
4045419,7460,025,2,765400405,2,11
4045420,7461,060,2,765400202,2,11
4045421,7462,025,1,765400501,1,11
4045422,7462,025,1,765400501,2,11
4045423,7463,080,2,765400402,2,21
4045424,7464,015,2,765400103,1,22
4045425,7465,080,2,765400105,2,21
4045426,7466,080,2,765400203,2,21
4045427,7467,020,2,765400304,2,11
4045428,7468,025,2,765400106,1,11
4045429,7469,025,1,765401003,1,11
4045430,7469,025,1,765401003,2,11
4045431,7470,020,2,765400101,2,22
4045432,7471,030,1,765400303,1,11
4045433,7471,030,1,765400303,2,11
4045434,7472,065,1,765400203,2,21
4045435,7472,060,1,765400203,1,21
4045436,7473,015,2,765400202,2,22
4045437,7474,080,2,765400901,2,21
4045438,7475,020,1,765400901,1,11
4045439,7475,015,1,765400901,2,11
4045440,7476,060,2,765400702,1,21
4045441,7477,020,2,765400304,2,11
4045442,7478,070,2,765401003,2,21
4045443,7479,050,2,765400102,2,11
4045444,7480,020,2,765401005,1,22
4045445,7481,020,2,765400103,2,22
4045446,7482,025,1,765400901,1,11
4045447,7482,025,1,765400901,2,11
4045448,7483,080,2,765400202,2,21
4045449,7484,065,2,765400501,2,21
4045450,7485,020,2,765400502,1,12
4045451,7485,020,2,765400502,1,22
4045452,7485,020,2,765400502,1,22
4045453,7486,015,2,765400204,2,22
4045454,7487,020,2,765400204,2,22
4045455,7488,020,2,765400502,1,22
4045456,7489,070,2,765400602,2,11
4045457,7490,020,2,765400405,1,22
4045458,7491,005,2,765400501,2,23
4045459,7491,005,2,765400501,2,23
4045460,7491,000,2,765400501,2,23
4045461,7491,025,2,765400501,2,11
4045462,7492,020,2,765400102,2,22
4045463,7493,025,2,765401001,2,11
4045464,7494,025,1,765401002,2,11
4045465,7494,025,1,765401002,1,11
4045466,7495,025,2,765400104,2,11
4045467,7496,030,1,765400901,1,25
4045468,7496,005,2,765400901,1,23
4045469,7496,005,2,765400901,1,23
4045470,7496,025,1,765400901,2,12
4045471,7497,040,2,765400204,1,11
4045472,7498,020,1,765400304,1,11
4045473,7498,020,1,765400304,2,22
4045474,7499,030,2,765400303,1,11
4045475,7500,030,2,765400202,2,11
4045476,7500,005,2,765400202,2,23
4045477,7500,035,1,765400202,1,11
4045478,7501,045,1,765400601,2,11
4045479,7501,015,2,765400601,1,22
4045480,7501,050,1,765400601,1,11
4045481,7502,025,2,765401001,2,11
4045482,7503,000,2,765401005,2,23
4045483,7503,000,2,765401005,2,23
4045484,7503,040,1,765401005,1,11
4045485,7503,035,1,765401005,2,11
4045486,7503,005,2,765401005,2,23
4045487,7504,020,2,765400402,2,22
4045488,7505,080,1,765400503,1,21
4045489,7505,050,2,765400503,2,11
4045490,7505,080,1,765400503,2,24
4045491,7506,050,2,765400201,1,11
4045492,7507,060,1,765400604,2,24
4045493,7507,060,1,765400604,1,11
4045494,7508,015,2,765400306,1,22
4045495,7508,010,2,765400306,2,23
4045496,7508,000,2,765400306,1,23
4045497,7508,040,2,765400306,2,24
4045498,7508,010,2,765400306,2,23
4045499,7509,020,2,765400106,2,22
4045500,7509,020,2,765400106,2,22
4045501,7510,045,1,765400204,2,11
4045502,7510,045,1,765400204,1,11
4045503,7510,015,2,765400204,1,22
4045504,7510,005,2,765400204,1,23
4045505,7511,035,2,765401003,2,11
4045506,7512,040,2,765401005,2,11
4045507,7512,010,2,765401005,1,23
4045508,7513,075,2,765400305,2,21
4045509,7514,000,2,765400405,2,23
4045510,7514,025,2,765400405,2,11
4045511,7515,070,1,765400202,2,21
4045512,7515,060,1,765400202,1,21
4045513,7516,000,2,765400601,2,23
4045514,7516,035,1,765400601,1,11
4045515,7516,030,1,765400601,2,11
4045516,7516,005,2,765400601,1,23
4045517,7517,005,2,765401002,2,23
4045518,7517,070,1,765401002,1,11
4045519,7517,035,1,765401002,2,12
4045520,7518,070,2,765400802,2,21
4045521,7519,075,2,765400202,1,21
4045522,7520,030,1,765401005,2,11
4045523,7520,030,1,765401005,1,11
4045524,7521,020,2,765400601,2,11
4045525,7522,050,1,765400504,2,11
4045526,7522,055,1,765400504,1,11
4045527,7523,045,2,765400303,2,11
4045528,7524,035,2,765400104,1,11
4045529,7525,055,2,765401005,2,11
4045530,7526,025,2,765400303,1,11
4045531,7527,015,2,765400801,1,12
4045532,7527,070,1,765400801,1,21
4045533,7527,020,2,765400801,1,11
4045534,7527,010,2,765400801,2,23
4045535,7527,045,1,765400801,2,11
4045536,7527,020,2,765400801,1,12
4045537,7528,000,2,765400303,2,23
4045538,7528,030,1,765400303,2,11
4045539,7528,030,1,765400303,1,11
4045540,7529,020,2,765400404,1,11
4045541,7529,020,2,765400404,1,22
4045542,7530,060,2,765401003,2,21
4045543,7531,060,1,765400502,1,21
4045544,7531,005,2,765400502,2,23
4045545,7531,045,1,765400502,2,11
4045546,7532,020,2,765400102,2,12
4045547,7532,045,2,765400102,2,11
4045548,7533,015,2,765400502,2,22
4045549,7534,075,2,765401005,2,21
4045550,7535,030,2,765400303,1,11
4045551,7536,020,2,765400402,2,22
4045552,7537,015,2,765400405,2,22
4045553,7538,040,1,765400306,2,11
4045554,7538,050,1,765400306,1,12
4045555,7538,015,2,765400306,1,11
4045556,7538,020,2,765400306,2,11
4045557,7539,015,2,765400202,2,22
4045558,7540,055,2,765400203,2,12
4045559,7541,085,2,765400305,2,21
4045560,7542,030,2,765400404,1,12
4045561,7543,035,2,765400103,2,11
4045562,7544,025,2,765400204,1,12
4045563,7545,055,2,765401002,2,25
4045564,7546,040,1,765401002,2,11
4045565,7546,040,1,765401002,1,11
4045566,7546,005,2,765401002,1,23
4045567,7547,025,2,765400104,2,11
4045568,7548,030,1,765400203,1,11
4045569,7549,080,2,765400604,2,21
4045570,7550,015,2,765400202,2,22
4045571,7551,020,2,765400106,2,22
4045572,7552,020,2,765400501,1,11
4045573,7553,070,2,765400601,2,21
4045574,7554,020,2,765400501,2,22
4045575,7554,020,2,765400501,2,22
4045576,7555,060,2,765400103,2,11
4045577,7555,020,2,765400103,2,22
4045578,7556,080,1,765400501,2,21
4045579,7557,075,1,765400305,2,21
4045580,7557,080,1,765400305,1,11
